key,en,ne_current,ne_proposed,status,note
sensitive_issues_referral.utterances.1,We recommend that you contact the One Stop Crisis Management Centre of Morang where special support will be provided to you.,गेंडर गुनासो बारेमा बताइएको छ। कृपया थप विवरण प्रविष्ट गर्नुहोस्।,"हामी तपाईंलाई मोरङको वान स्टप क्राइसिस म्यानेजमेन्ट सेन्टर (OCMC) मा सम्पर्क गर्न सिफारिस गर्छौं, जहाँ तपाईंलाई विशेष सहयोग प्रदान गरिनेछ।",fixed,NE did not match EN (OCMC referral). AI-translated; verify OCMC facts against service-provider registry.
sensitive_issues_referral.utterances.2,"Address : Koshi Regional Hospital, Biratnagar
                    Morang
                    Phone : 021-530103","कोशी रिजियनल हस्तान्याउन हस्तान्याउन, बिरतनगर / फोन : 021-530103","ठेगाना : कोशी रिजनल अस्पताल, विराटनगर
                    मोरङ
                    फोन : 021-530103",fixed,"Garbled address ('हस्तान्याउन' x2), Morang line dropped. AI-fixed; verify address/phone against service-provider registry."
sensitive_issues_referral.utterances.3,You can get more information on : https://nwchelpline.gov.np,तपाईं अधिक जानकारी प्राप्त गर्न सक्नुहुन्छ : https://nwchelpline.gov.np,तपाईं अधिक जानकारी प्राप्त गर्न सक्नुहुन्छ : https://nwchelpline.gov.np,ok,
sensitive_issues_referral.utterances.4,You can decide to file your grievance anonymously with one phone number or not.,ूतपाईले गुमनाम ... गर्न सक्नुहुन्छ।,तपाईंले गुमनाम वा बेनामी रूपमा फोन नम्बर प्रयोग गरेर वा फोन नम्बर प्रयोग नगरीकन पनि आफ्नो गुनासो दर्ता गर्न सक्नुहुन्छ।,fixed,Stray leading 'ू' removed; spacing tidied.
sensitive_issues_referral.utterances.5,"If you desire, you can provide us with more details that we will forward to the OCMC.",यदि तपाईं चाहनुहुन्छ भने ... एक फोन नम्बर सहित गुनासो दर्ता गर्न चाहनुहुन्छ।,"यदि तपाईं चाहनुहुन्छ भने, तपाईंले हामीलाई थप विवरण दिन सक्नुहुन्छ जुन हामी OCMC लाई पठाउनेछौं।",fixed,NE drifted (said 'file with phone number' not 'forward to OCMC'). AI-retranslated.
action_ask_commons.action_ask_story_main.buttons.1.ne[1],"Report sexual exploitation, sexual abuse, and sexual harassment","असुरक्षित व्यवहार, असुरक्षित व्यवहार, वा असुरक्षित व्यवहार रिपोर्ट गर्नुहोस्","यौन शोषण, यौन दुर्व्यवहार, र यौन उत्पीडन रिपोर्ट गर्नुहोस्",fixed,SEAH menu label repeated 'असुरक्षित व्यवहार' 3x instead of translating SEA/H. AI-fixed.
form_seah_2.action_ask_form_seah_2_sensitive_issues_new_detail.utterances.1,Please provide a brief summary of the incident.,कृपया घटनाको संक्षिप्त विवरण प्रविष्ट गर्नुहोस्।,कृपया घटनाको संक्षिप्त विवरण प्रविष्ट गर्नुहोस्।,ok,
form_seah_2.action_ask_form_seah_2_sensitive_issues_new_detail.utterances.2,"Thank you for your entry: ""{grievance_description}"".
Do you want to add more details before submission?",ूगुनोसो प्रविष्टिको लागि धन्यवादस् ... ?ू,"तपाईंको प्रविष्टिको लागि धन्यवाद: ""{grievance_description}""।
के तपाईं पेस गर्नु अघि थप विवरणहरू थप्न चाहनुहुन्छ?",fixed,"Merged victim+focal into one shared block; stray 'ू' removed, NE de-drifted."
form_seah_2.action_ask_form_seah_2_sensitive_issues_new_detail.utterances.3,Please add more details.,कृपया थप विवरणहरू थप्नुहोस्।,कृपया थप विवरणहरू थप्नुहोस्।,ok,
form_seah_2.action_ask_form_seah_2_seah_project_identification.utterances.1,Is the alleged perpetrator employed by an ADB project?,के गुनासेामा आरोपित व्यक्ति एडीबी आयोजनामा ​​कार्यरत छन्? ,के गुनासेामा आरोपित व्यक्ति एडीबी आयोजनामा ​​कार्यरत छन्?,ok,
form_seah_2.action_ask_form_seah_2_seah_contact_consent_channel.utterances.1,Do you consent to be contacted for follow-up? Choose one channel.,के तपाई फलो–अपको लागि सम्पर्क गर्न सहमत हुनुहुन्छ? एउटा च्यानल छान्नुहोस्‌। ,के तपाई फलो–अपको लागि सम्पर्क गर्न सहमत हुनुहुन्छ? एउटा च्यानल छान्नुहोस्‌।,ok,
form_seah_focal_point.action_ask_form_seah_focal_point_1_seah_focal_learned_when.utterances.1,When did you learn about this incident?,तपाईले यो घटनाको बारेमा कहिले थाहा पाउनुभयो? ,तपाईले यो घटनाको बारेमा कहिले थाहा पाउनुभयो?,ok,
