form,action,utterance_number,en,ne
action_ask_commons,action_ask_story_main,1,I am here to help you file a grievance or check its status. What would you like to do?,म तपाईंलाई गुनासो दर्ता गर्न वा यसको स्थिति जाँच गर्न मद्दत गर्न यहाँ छु। तपाईं के गर्न चाहनुहुन्छ?
action_ask_commons,action_ask_story_main,2,"You are reaching out to the office of {district} in {province}.
I am here to help you file a grievance or check its status. What would you like to do?","तपाईं {province} मा {district} को कार्यालयमा सम्पर्क गर्दै हुनुहुन्छ।
म तपाईंलाई गुनासो दर्ता गर्न वा यसको स्थिति जाँच गर्न मद्दत गर्न यहाँ छु। तपाईं के गर्न चाहनुहुन्छ?"
action_ask_commons,action_ask_language_code,1,"तपाईं कुन भाषा प्रयोग गर्न चाहनुहुन्छ?
What language do you want to use?","तपाईं कुन भाषा प्रयोग गर्न चाहनुहुन्छ?
What language do you want to use?"
action_ask_commons,action_ask_story_route,1,You can retrieve your grievance by using your grievance ID or the phone number provided during the filing process.,तपाईं आफ्नो गुनासो गुनासो ID वा फोन नम्बर प्रयोग गरेर पुनः प्राप्त गर्न सक्नुहुन्छ। यो गुनासो दर्ता गर्न दुई तरिका छ।
action_ask_commons,action_ask_story_step,1,Here are the details of the grievance:,यो गुनासोको विवरण छ:
action_ask_commons,action_ask_story_step,2,We couldn't find any grievance details.,हामी कुनै गुनासो विवरण भेट्टाउन सकिनौं।
action_ask_commons,action_ask_complainant_phone,1,"Please enter your contact phone number. Nepali phone number starts with 9 and should be 10 digits long. 
You can skip this if you prefer to remain anonymous.","कृपया आफ्नो सम्पर्क फोन नम्बर प्रविष्ट गर्नुहोस्। नेपाली फोन नम्बर 9 बाट सुरु हुन्छ र 10 अंकको हुनुपर्छ।
यदि तपाईं गुमनाम रहन चाहनुहुन्छ भने यसलाई छोड्न सक्नुहुन्छ।"
action_ask_commons,action_ask_complainant_phone,2,The number you provided is not valid. Please provide a valid number - it should start by 9 and be 10 digits long,कृपया तपाईंको फोन नम्बर प्रदान गर्नुहोस् - यो 9 देखि सुरु हुनुपर्छ र 10 अंकको हुनुपर्छ
action_ask_commons,action_ask_complainant_location_consent,1,"Do you want to provide the location details for your grievance. This is optional, your grievance can be filed without it.","के तपाईं आफ्नो गुनासोको लागि स्थान विवरण प्रदान गर्न चाहनुहुन्छ? यो वैकल्पिक हो, तपाईंको गुनासो यस बिना पनि दर्ता गर्न सक्नुहुन्छ।"
action_ask_commons,action_ask_complainant_municipality_temp,1,"Please enter a valid municipality name in {district}, {province} (at least 3 characters) or Skip to skip","कृपया {district}, {province} मा वैध नगरपालिका नाम प्रविष्ट गर्नुहोस् (कम्तिमा 3 अक्षर) वा छोड्न स्किप गर्नुहोस्"
action_ask_commons,action_ask_complainant_municipality_confirmed,1,Is {validated_municipality} your correct municipality?,के {validated_municipality} तपाईंको सही नगरपालिका हो?
action_ask_commons,action_ask_complainant_village_temp,1,Please provide your village name or Skip to skip,कृपया आफ्नो गाउँको नाम प्रदान गर्नुहोस् वा छोड्न स्किप गर्नुहोस्
action_ask_commons,action_ask_complainant_village_confirmed,1,Is {validated_village} in ward number {validated_ward} your correct village?,के {validated_village} गाउँ बारेमा वर्ड नम्बर {validated_ward} तपाईंको सही गाउँ हो?
action_ask_commons,action_ask_complainant_ward,1,Please provide your ward number (number between 1 and 20) or Skip to skip,कृपया आफ्नो वर्ड नम्बर प्रदान गर्नुहोस् (1 बाट 20 बीचको संख्या) वा छोड्न स्किप गर्नुहोस्
action_ask_commons,action_ask_complainant_address_temp,1,Please provide your address or Skip to skip,कृपया आफ्नो ठेगाना प्रदान गर्नुहोस् वा छोड्न स्किप गर्नुहोस्
action_ask_commons,action_ask_complainant_address_confirmed,1,"Thank you for providing your location details:
- Municipality: {municipality}
- Village: {village}
- Address: {address}
Is this correct?","तपाईंको स्थान विवरण प्रदान गर्नुभएकोमा धन्यवाद:
- नगरपालिका: {municipality}
- गाउँ: {village}
- ठेगाना: {address}
के यो सही हो?"
action_ask_commons,action_ask_complainant_province,1,Please provide your province name or Skip,कृपया आफ्नो प्रदेशको नाम प्रदान गर्नुहोस् वा छोड्न स्किप गर्नुहोस्
action_ask_commons,action_ask_complainant_district,1,Please provide your district name or Skip,कृपया आफ्नो जिल्लाको नाम प्रदान गर्नुहोस् वा छोड्न स्किप गर्नुहोस्
action_ask_commons,action_ask_complainant_consent,1,Would you like to provide your contact information? You can file anonymously but we won't be able to contact you for follow-up or updates.,के तपाईं आफ्नो सम्पर्क जानकारी प्रदान गर्न चाहनुहुन्छ? तपाईं गुमनाम रहन सक्नुहुन्छ तर हामी तपाईंलाई अनुवर्ती वा अपडेटको लागि सम्पर्क गर्न सक्नुहुनेछैनौं।
action_ask_commons,action_ask_complainant_full_name,1,"Please enter the name you want us to address you by. We recommend you to enter your full name with first name, middle name and last name for better identification. You can skip this if you prefer to remain anonymous.","कृपया हामीलाई तपाईंको नाम प्रविष्ट गर्नुहोस्। हामीले आफ्नो नाम प्रथम नाम, मध्य नाम र अन्तिम नाम प्रदान गर्नुहोस् अच्छा पहचान गर्नको लागि। यदि तपाईं गुमनाम रहन चाहनुहुन्छ भने यसलाई छोड्न सक्नुहुन्छ।"
action_ask_commons,action_ask_complainant_full_name,2,"Please enter your full name. We recommend you to enter your full name with first name, middle name and last name for better identification. You can skip this if you prefer to remain anonymous.","कृपया आफ्नो पूरा नाम प्रविष्ट गर्नुहोस्। हामीले आफ्नो नाम प्रथम नाम, मध्य नाम र अन्तिम नाम प्रदान गर्नुहोस् अच्छा पहचान गर्नको लागि। यदि तपाईं गुमनाम रहन चाहनुहुन्छ भने यसलाई छोड्न सक्नुहुन्छ।"
action_ask_commons,action_ask_complainant_email_temp,1,Please enter your contact email. You can skip this if you prefer to remain anonymous.,कृपया आफ्नो सम्पर्क इमेल प्रविष्ट गर्नुहोस्। यदि तपाईं गुमनाम रहन चाहनुहुन्छ भने यसलाई छोड्न सक्नुहुन्छ।
action_ask_commons,action_ask_complainant_email_confirmed,1,"⚠️ The email domain '{domain_name}' is not recognized as a common Nepali email provider.
Please confirm if this is correct or try again with a different email.","⚠️ इमेल डोमेन '{domain_name}' सामान्य नेपाली इमेल प्रदायकको रूपमा पहिचान गरिएको छैन।
कृपया यो सही हो कि होइन पुष्टि गर्नुहोस् वा अर्को इमेलसँग पुनः प्रयास गर्नुहोस्।"
form_contact,validate_complainant_province,1,"Please provide a valid province name, this is required to file your grievance","कृपया एक वैध प्रदेशको नाम प्रदान गर्नुहोस्, यो आपको ग्रेवियंसको फाइल गर्नको लागि आवश्यक छ"
form_contact,validate_complainant_province,2,We cannot match your entry {slot_value} to a valid province. Please try again,आपको प्रविष्टि {slot_value} एक वैध प्रदेशको मिल्न सकिन्छ। कृपया पुनरावर्तन गर्नुहोस्
form_contact,validate_complainant_province,3,We have matched your entry {slot_value} to {result}.,हामीले तपाईंको प्रविष्टि {slot_value} लाई {result} सँग मिलान गरेका छौं।
form_contact,validate_complainant_district,1,"Please provide a valid district name, this is required to file your grievance","कृपया एक वैध जिल्लाको नाम प्रदान गर्नुहोस्, यो आपको ग्रेवियंसको फाइल गर्नको लागि आवश्यक छ"
form_contact,validate_complainant_district,2,We cannot match your entry {slot_value} to a valid district. Please try again,आपको प्रविष्टि {slot_value} एक वैध जिल्लाको मिल्न सकिन्छ। कृपया पुनरावर्तन गर्नुहोस्
form_contact,validate_complainant_district,3,We have matched your entry {slot_value} to {result}.,हामीले तपाईंको प्रविष्टि {slot_value} लाई {result} सँग मिलान गरेका छौं।
form_contact,validate_complainant_village_temp,1,Please provide a valid village name (at least 3 characters) or type 'skip' to skip,कृपया एक वैध गाउँको नाम प्रदान गर्नुहोस् (कम्तिमा 3 अक्षर) वा छोड्न 'skip' टाइप गर्नुहोस्
form_contact,validate_complainant_address_temp,1,Please provide a valid address (at least 3 characters),कृपया एक वैध ठेगाना प्रदान गर्नुहोस् (कम्तिमा 3 अक्षर)
