form,action,button_set_1,en_1_1,ne_1_1,en_1_2,ne_1_2,en_1_3,ne_1_3,en_1_4,ne_1_4,en_1_5,ne_1_5,button_set_2,en_2_1,ne_2_1,en_2_2,ne_2_2,en_2_3,ne_2_3,en_2_4,ne_2_4,en_2_5,ne_2_5,button_set_3,en_3_1,ne_3_1,en_3_2,ne_3_2,en_3_3,ne_3_3,en_3_4,ne_3_4,en_3_5,ne_3_5
action_ask_commons,action_ask_story_main,1,File a grievance,गुनासो दर्ता गर्नुहोस्,"Report sexual exploitation, sexual abuse, and sexual harassment","असुरक्षित व्यवहार, असुरक्षित व्यवहार, वा असुरक्षित व्यवहार रिपोर्ट गर्नुहोस्",Check my status,स्थिति जाँच गर्नुहोस्,Exit,बाहिर निस्कनुहोस्,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_language_code,1,Nepali / नेपाली,Nepali / नेपाली,English / अंग्रेजी,English / अंग्रेजी,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_story_route,1,Phone Number,फोन नम्बर,Grievance ID,गुनासो ID,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_story_step,1,Request follow up,अनुसंधान अनुसंधान गर्नुहोस्,Modify grievance,गुनासो सम्पादन गर्नुहोस्,Skip,छोड्नुहोस्,,,,,2,Request follow up,अनुसंधान अनुसंधान गर्नुहोस्,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_phone,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_location_consent,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_municipality_temp,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_municipality_confirmed,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_village_temp,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_village_confirmed,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_ward,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_address_temp,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_address_confirmed,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_province,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_district,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_consent,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_full_name,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_email_temp,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_ask_commons,action_ask_complainant_email_confirmed,1,Confirm Email,इमेल पुष्टि गर्नुहोस्,Try Different Email,अर्को इमेल प्रयास गर्नुहोस्,Skip Email,इमेल छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,
form_contact,action_modify_contact_info,1,Change Email ({current_email}),इमेल परिवर्तन गर्नुहोस् ({current_email}),Add Email,इमेल थप्नुहोस्,Change Phone ({current_phone}),फोन परिवर्तन गर्नुहोस् ({current_phone}),Add Phone,फोन थप्नुहोस्,Cancel,रद्द गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,
form_grievance,action_ask_grievance_new_detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_submit_grievance,action_grievance_outro,1,Close Browser,ब्राउजर बन्द गर्नुहोस्,Close Session,सत्र बन्द गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action_seah_outro,action_seah_outro,1,Close Browser,ब्राउजर बन्द गर्नुहोस्,Close Session,सत्र बन्द गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_grievance_complainant_review,action_ask_form_grievance_complainant_review_grievance_classification_consent,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
